TAREAS,FECHA INICIO,FECHA DE FINAL,PRIORIDAD,ESTADO
CR 58104 - Cable de masa chasis-motor tector nef4,25/08/2023,25/08/2023,BAJA,FINALIZADO
CR 57015 - cambio tanque de combustibles,08/09/2023,10/11/2023,BAJA,FINALIZADO
CR 58224 - Mejoras de Layout,14/09/2023,27/10/2023,BAJA,FINALIZADO
CR 58733 - proteccion de circuito calefaccion espejos tector/cursor,21/09/2023,03/11/2023,BAJA,FINALIZADO
CR 58741 - Actualización ICP soporte ESC Hi-Land 3500,22/09/2023,27/10/2023,BAJA,FINALIZADO
CR 58572 -autonomía aumentada BUS GNC,08/09/2023,03/11/2023,BAJA,FINALIZADO
TECTOR ESC,1/9/2023,30/9/2024,BAJA,FINALIZADO
CR 58729 - Cigar muffler exhaust end orientation analysis,18/9/2023,30/1/2024,BAJA,FINALIZADO
CR 53614 - COST REDUCTION SOPORTE FUNDIDO TECTOR,1/5/2023,30/4/2024,BAJA,FINALIZADO
CR 58530 - Eliminación briglia faros traseros Tector RSU,2/10/2023,31/10/2023,BAJA,FINALIZADO
CR 56312 - Triple cortacorriente,3/10/2023,29/12/2023,BAJA,FINALIZADO
CR 58847 - Regularization of air duct design,09/10/2023,29/12/2023,BAJA,FINALIZADO
CR 58855 - Fuel tube replacement - EPM 1244,09/10/2023,29/12/2023,BAJA,FINALIZADO
Tector gnc con mochila,31/10/2023,01/01/2024,BAJA,FINALIZADO
CR 59003 - Change of flexible tube in intake system - EPM 1375,14/11/2023,28/06/2024,BAJA,FINALIZADO
CR 58960 - Soporte protector calor GNC,01/11/2023,30/04/2024,BAJA,FINALIZADO
CR 58734 - EPM 1368 Manguera rompe condensador,01/11/2023,06/01/2024,BAJA,FINALIZADO
CR 58714 - Tornillo red proteccion paragolpe,01/10/2023,01/01/2024,BAJA,FINALIZADO
CR 58778 - Falla funcionamiento ECAS,01/10/2023,15/01/2024,BAJA,FINALIZADO
CR 58846 - ECAS connection wiring Harness length,01/10/2023,06/01/2024,BAJA,FINALIZADO
AUXILIAR LAUNCH,05/12/2023,05/12/2024,BAJA,FINALIZADO
CR 59136 - Phase-out counterframe HI LAND 41034107,01/12/2023,29/02/2024,BAJA,FINALIZADO
CR 58206 - proteccion de muffler,12/12/2023,01/03/2024,BAJA,FINALIZADO
CR 58856 - switch de calandra Hi-Way,17/01/2024,01/03/2024,BAJA,FINALIZADO
BUS GNC ESC,08/01/2024,01/05/2024,BAJA,FINALIZADO
CR 59085,30/01/2024,31/03/2024,BAJA,FINALIZADO
CR 59226 - Protector on rear of engine,02/01/2024,09/04/2024,BAJA,FINALIZADO
CR 59122 - Soporte cable 7 polos,01/02/2024,29/03/2024,BAJA,FINALIZADO
CR 59030 - Soporte sensor tempuratura muffler GNC,16/02/2024,05/04/2024,BAJA,FINALIZADO
CR 59455 - NACIONALIZACIÓN DE CABLES,23/02/2024,04/04/2024,BAJA,FINALIZADO
CR 59583 - Marca en cable de potencia,23/02/2024,03/05/2024,BAJA,FINALIZADO
CR 59569 - Agotamiento traversa 2 puntos,01/02/2024,30/06/2024,BAJA,FINALIZADO
59108 - Resourcing Stabilizer Bars,01/03/2024,30/08/2024,BAJA,FINALIZADO
TLHHO00 - Homologación de ruidos R51.03,01/01/2024,25/07/2024,BAJA,FINALIZADO
